"IssueID","Memcardno","ACSNno","Booktitle","DateofIssue","DueDate","DateofReturn","BookReturned","Returnflag","FineID","IssueName","ReturnName"
"51","F0108","N0007412","MODERN ELECTRIC TRACTION","2012-07-23 00:00:00","2012-08-07 00:00:00","2012-08-07 00:00:00","","1","0","KBPL"," "
"52","F0108","N0007491","PRINCIPLES OF POWER SYSTEMS","2012-07-23 00:00:00","2012-08-07 00:00:00","2012-08-07 00:00:00","","1","0","KBPL"," "
"53","F0108","N0000864","ELECTRICAL WIRING ESTIMATING & COSTING","2012-07-23 00:00:00","2012-08-07 00:00:00","2012-08-07 00:00:00","","1","0","KBPL"," "
"54","F0108","N0001051","BASIC ELECTRICAL ENGINEERING","2012-07-23 00:00:00","2012-08-07 00:00:00","2012-07-23 00:00:00","0","0","0","KBPL","KBPL"
